size,du,time
59792,1,442136860.0
59792,2,219574400.0
59792,3,152494400.0
59792,4,118802300.0
59792,5,93509780.0
59792,6,76370760.0
59792,7,65051720.0
59792,8,60737180.0
59792,9,50741140.0
59792,10,44477340.0
59792,11,41793660.0
59792,12,38230280.0
59792,13,34806300.0
59792,14,32224420.0
59792,15,30302600.0
59792,16,27575020.0
59792,17,27099360.0
59792,18,27032720.0
59792,19,25559760.0
59792,20,22048000.0
59792,21,22013760.0
59792,22,21501040.0
59792,23,21047180.0
59792,24,19660540.0
59792,25,18866500.0
59792,26,22194320.0
59792,27,19066600.0
59792,28,16281680.0
59792,29,16613820.0
59792,30,14708580.0
59792,31,15383820.0
59792,32,15379660.0
59792,33,14774840.0
59792,34,14756680.0
59792,35,13319260.0
59792,36,13797940.0
59792,37,14159800.0
59792,38,12649120.0
59792,39,13459060.0
59792,40,12910820.0
59792,41,12362880.0
59792,42,12563940.0
59792,43,11905060.0
59792,44,11941880.0
59792,45,10546000.0
59792,46,10473760.0
59792,47,11646060.0
59792,48,11869040.0
59792,49,11453980.0
59792,50,11081620.0
59792,51,10207940.0
59792,52,9412680.0
59792,53,11409460.0
59792,54,10632540.0
59792,55,9979360.0
59792,56,9358400.0
59792,57,9113700.0
59792,58,9406020.0
59792,59,8825100.0
59792,60,7983500.0
59792,61,8066100.0
59792,62,8336700.0
59792,63,8653700.0
59792,64,8791700.0
59792,65,8891040.0
59792,66,8174420.0
59792,67,8378740.0
59792,68,7709460.0
59792,69,7905340.0
59792,70,8405400.0
59792,71,7775200.0
59792,72,7758720.0
59792,73,7050760.0
59792,74,7566020.0
59792,75,6472060.0
59792,76,7185060.0
59792,77,6951080.0
59792,78,7074340.0
59792,79,7182400.0
59792,80,6741480.0
59792,81,7308220.0
59792,82,6714520.0
59792,83,7364660.0
59792,84,6812800.0
59792,85,6811160.0
59792,86,6388400.0
59792,87,5991940.0
59792,88,6088320.0
59792,89,6153600.0
59792,90,6115160.0
59792,91,5752360.0
59792,92,5539200.0
59792,93,6074920.0
59792,94,5694660.0
59792,95,5604860.0
59792,96,5890220.0
59792,97,5874360.0
59792,98,6315760.0
59792,99,6127280.0
59792,100,5780860.0
59792,101,5158280.0
59792,102,5309120.0
59792,103,5087600.0
59792,104,5535740.0
59792,105,5503240.0
59792,106,5227380.0
59792,107,5422280.0
59792,108,5328400.0
59792,109,5215960.0
59792,110,4811840.0
59792,111,5303820.0
59792,112,5374320.0
59792,113,4994560.0
59792,114,5362120.0
59792,115,5656700.0
59792,116,5022000.0
59792,117,4822720.0
59792,118,4860340.0
59792,119,5152160.0
59792,120,4797880.0
59792,121,4623260.0
59792,122,4541880.0
59792,123,4784620.0
59792,124,5163860.0
59792,125,4404480.0
59792,126,4632680.0
59792,127,4698400.0
59792,128,4201980.0
59792,129,4650020.0
59792,130,5047720.0
59792,131,4397440.0
59792,132,4404940.0
59792,133,5050280.0
59792,134,4817280.0
59792,135,4196680.0
59792,136,4245320.0
59792,137,4607100.0
59792,138,4060120.0
59792,139,4519180.0
59792,140,4320200.0
59792,141,4613480.0
59792,142,4360080.0
59792,143,4469440.0
59792,144,4457780.0
59792,145,3866220.0
59792,146,3828400.0
59792,147,3906180.0
59792,148,4119860.0
59792,149,3956040.0
59792,150,3972800.0
59792,151,4261360.0
59792,152,3841680.0
59792,153,4306520.0
59792,154,3814440.0
59792,155,3637140.0
59792,156,4067040.0
59792,157,4327320.0
59792,158,4177220.0
59792,159,3956260.0
59792,160,4004000.0
59792,161,4283140.0
59792,162,4073260.0
59792,163,4102560.0
59792,164,3833700.0
59792,165,3702400.0
59792,166,3889420.0
59792,167,3661340.0
59792,168,3627640.0
59792,169,3565700.0
59792,170,3442580.0
59792,171,3848860.0
59792,172,3768620.0
59792,173,3626700.0
59792,174,3729480.0
59792,175,3526920.0
59792,176,3951020.0
59792,177,3827320.0
59792,178,3447860.0
59792,179,3612780.0
59792,180,3862540.0
59792,181,3396460.0
59792,182,3579620.0
59792,183,3638260.0
59792,184,3978620.0
59792,185,3678620.0
59792,186,3108080.0
59792,187,3108980.0
59792,188,3306420.0
59792,189,4063380.0
59792,190,3589180.0
59792,191,3460520.0
59792,192,3741200.0
59792,193,3462800.0
59792,194,3588220.0
59792,195,2864800.0
59792,196,3497180.0
59792,197,3110660.0
59792,198,3447380.0
59792,199,3600620.0
